family,products,param,filled_products,coverage_pct,status,top_categories
PVA,103,Тип,82,79.6,use_filter,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Матеріал,82,79.6,use_filter,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Бренд,68,66.0,use_filter,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Країна-виробник,27,26.2,use_filter,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Довжина,16,15.5,card_only_until_more_data,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Розмір,11,10.7,card_only_until_more_data,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Кількість в упаковці,3,2.9,skip_for_now,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
PVA,103,Ширина,1,1.0,skip_for_now,PVA матеріали та аксесуари / Інструменти (52) | PVA матеріали та аксесуари / PVA матеріали (51)
Інше,3074,Тип,2928,95.3,use_filter,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
Інше,3074,Матеріал,2855,92.9,use_filter,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
Інше,3074,Бренд,2697,87.7,use_filter,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
Інше,3074,Країна-виробник,2662,86.6,use_filter,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
Інше,3074,Колір,1692,55.0,use_filter,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
Інше,3074,Вага,1082,35.2,use_filter,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
Інше,3074,Розмір,496,16.1,card_only_until_more_data,Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (147)
