name;product_count;unique_values;top_values;top_categories;recommended_type;filter_recommendation
Тип;6449;100;Силіконова приманка (915) | Блешня (615) | Воблер (545) | Прикормка (430) | Одинарний (371) | Безінерційна котушка (296) | Мормишка (264) | Монофільна волосінь (252);Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (556) | Гачки (491) | Зимова ловля / мормишки (264);text;card_only
Країна-виробник;5782;40;Україна (3643) | Японія (760) | Китай (663) | Польща (360) | Франція (87) | США (58) | Німеччина (31) | Невідома (26);Приманки / мандула (862) | Приманки / блешні (709) | Приманки / воблери (545) | Гачки (474) | Насадочні / поп-ап (334);select;filter
Матеріал;4924;176;силікон (868) | латунь (593) | ABS (539) | Сталь (498) | Нейлон / PE (401) | Свинець (273) | Пластик (263) | Метал (255);Приманки / мандула (915) | Приманки / блешні (710) | Приманки / воблери (549) | Гачки (491) | Зимова ловля / мормишки (264);text;card_only
Призначення;4504;37;Коропова риболовля (1035) | Спінінгова риболовля (915) | Монтаж оснастки (546) | Основна ліска / шнур (392) | Спінінгова / фідерна риболовля (298) | Риболовля (244) | Поплавкова ловля (188) | Фідерна риболовля (119);Приманки / мандула (915) | Волосінь та шнури / волосінь (232) | Все для монтажу / грузила / спінінгові (213) | Прикормка / Технопланктон (201) | Херабуна / поплавки (188);select;filter
Колір;2918;550;прозорий (210) | Чорний (198) | різні (146) | різноманітні (90) | Прозорий (84) | Жовтий (79) | Зелений (74) | металеве (68);Приманки / мандула (720) | Приманки / блешні (704) | Насадочні / поп-ап (332) | Волосінь та шнури / волосінь (209) | Волосінь та шнури / шнури (159);text;card_only
Вага;2106;218;30 г (82) | 3 г (80) | 400 г (80) | 20 г (79) | 7 г (78) | 2 г (75) | 10 г (62) | 40 г (58);Приманки / блешні (434) | Приманки / воблери (223) | Зимова ловля / мормишки (198) | Все для монтажу / грузила / спінінгові (183) | Приманки / мандула (136);text;card_only
Розмір;1449;229;"6 (80) | 4 (72) | 8 (71) | 3"" (57) | 2"" (56) | 2 (45) | S (44) | 10 (40)";Гачки (367) | Приманки / мандула (321) | Все для монтажу / карабіни вертлюги та кільця (101) | Туризм / одяг та взуття (86) | Котушки / Коропові (56);text;card_only
Тип насадки;1356;7;Прикормка (430) | Поп-ап (352) | Пелетс / гранула (220) | Зернова (178) | Бойли (136) | Пінотісто / макуха (22) | Тісто (18);Насадочні / поп-ап (352) | Прикормка / Технопланктон (201) | Насадочні / зернові (174) | Насадочні / бойли (139) | Прикормка / Інші бренди (104);select;filter
Діаметр;984;121;10 мм (189) | 8 мм (101) | 12 мм (57) | 0.35 мм (47) | 0.3 мм (44) | 20 мм (43) | 0.25 мм (27) | 0.2 мм (23);Насадочні / поп-ап (329) | Волосінь та шнури / волосінь (200) | Волосінь та шнури / шнури (118) | Насадочні / бойли (84) | Волосінь та шнури / флюорокарбон (58);text;card_only
Довжина;957;144;3 м (109) | 4 м (61) | 25 м (43) | 10 м (42) | 3.6 м (34) | 5 м (31) | 2 м (31) | 2.4 м (25);Зимова ловля / мормишки (186) | Приманки / мандула (84) | Вудилища / Коропові (72) | Вудилища / Спінінгові (72) | Волосінь та шнури / готові повідці (69);text;card_only
Плавучість;918;6;Плаваюча (378) | плаваючий (368) | Плаваючий (156) | суспендер (14) | тонучий (1) | плаваючий/тонучий/суспендер (1);Приманки / воблери (540) | Насадочні / поп-ап (352) | Пелетси / Bounty (26);select;filter
Аромат;878;629;Тигровий горіх (26) | Слива (19) | Полуниця (18) | Солодка кукурудза (12) | Кальмар (10) | Часник (9) | Краб (8) | Природний (8);Насадочні / поп-ап (348) | ліквіди і атрактанти / всі (143) | Насадочні / бойли (98) | Насадочні / зернові (94) | Пелетси / Bounty (69);text;card_only
Тип приманки;851;18;Силіконова приманка (491) | слаг (117) | віброхвіст (78) | Силіконова (32) | твістер (30) | черв'як (29) | силіконова приманка (20) | Черв'як (16);Приманки / мандула (851);select;filter
Тип вудилища;753;2;Спінінг (663) | Махова / херабуна (90);Вудилища / Коропові (250) | Вудилища / Спінінгові (209) | Вудилища / Махові (119) | Зимова ловля / вудилища (65) | Вудилища / Запчастини та аксесуари для вудок (47);select;filter
Кількість секцій;747;8;2 (630) | 3 (50) | 1 (30) | 5 (22) | 4 (8) | 6 (4) | 2+3 (2) | Телескопічне (1);Вудилища / Коропові (250) | Вудилища / Спінінгові (200) | Вудилища / Махові (119) | Зимова ловля / вудилища (65) | Вудилища / Запчастини та аксесуари для вудок (47);select;filter
Матеріал бланка;741;44;Carbon (351) | Карбон (164) | карбон (66) | Композитний (23) | скловолокно (18) | Графіт (15) | Вуглецеве волокно (12) | вуглецеве волокно (11);Вудилища / Коропові (250) | Вудилища / Спінінгові (200) | Вудилища / Махові (119) | Зимова ловля / вудилища (65) | Вудилища / Запчастини та аксесуари для вудок (47);select;filter
Тип рукояті;741;18;EVA (640) | Гумова (39) | Ергономічна (21) | корок (12) | Ева (7) | Корок (6) | ергономічна (4) | Гумовий (2);Вудилища / Коропові (250) | Вудилища / Спінінгові (200) | Вудилища / Махові (119) | Зимова ловля / вудилища (65) | Вудилища / Запчастини та аксесуари для вудок (47);select;filter
Форма;686;89;Краплинка (101) | Кулька (53) | ліквід (51) | краплинка (45) | Порошок (29) | Ліквід (28) | спрей (23) | Паста / пресована насадка (22);Зимова ловля / мормишки (264) | ліквіди і атрактанти / всі (112) | Все для монтажу / грузила / спінінгові (61) | Прикормка / Технопланктон (48) | Підсаки, Садки, кукани / Підсаки (20);text;card_only
Транспортна довжина;675;85;120 см (69) | 130 см (59) | 125 см (54) | 120 (49) | 110 см (49) | 100 см (46) | 150 см (42) | 185 см (32);Вудилища / Коропові (232) | Вудилища / Спінінгові (188) | Вудилища / Махові (113) | Зимова ловля / вудилища (46) | Вудилища / Запчастини та аксесуари для вудок (43);text;card_only
Тип пропускних кілець;645;3;SiC (635) | звичайні (9) | Fuji (1);Вудилища / Коропові (250) | Вудилища / Спінінгові (200) | Вудилища / Махові (109) | Вудилища / Запчастини та аксесуари для вудок (47) | Вудилища / Фідерні (39);select;filter
Кількість гачків;569;6;2 (549) | 3 (10) | 4 (6) | 1 (2) | 2-3 (1) | 5 (1);Приманки / воблери (540) | Готові монтажі / інші (20) | Готові монтажі / оранж (6) | Все для монтажу / грузила / спінінгові (2) | Підсаки, Садки, кукани / Садки кукани (1);select;filter
Кількість в упаковці;554;34;10 шт (148) | 5 шт (88) | 1 шт (44) | 6 шт (35) | 7 шт (33) | 1 (32) | 4 шт (24) | 8 шт (20);Приманки / мандула (225) | Гачки (80) | Все для монтажу / карабіни вертлюги та кільця (49) | Все для монтажу / Інше для оснащення (35) | Все для монтажу / грузила / спінінгові (32);select;filter
Покриття;497;14;нікель (383) | чорний нікель (47) | Нікель (26) | Нікельоване покриття (10) | тефлон (8) | Чорний нікель (5) | червоний нікель (4) | UV Orange (4);Гачки (480) | Все для монтажу / карабіни вертлюги та кільця (12) | Все для монтажу / грузила / спінінгові (3) | Все для монтажу / Інше для оснащення (1) | Приманки / блешні (1);select;filter
Консистенція;451;8;Суха (441) | Волога (3) | Суха суміш + ліквід (2) | Суха (стіки) + рідка (ліквід) (1) | Суха суміш (з додаванням ліквіду) (1) | Сухий мікс + ліквід (1) | Суха (стіки) (1) | Суха (перед змішуванням з ліквідом) (1);Прикормка / Технопланктон (196) | Прикормка / Інші бренди (104) | Прикормка / Fanatik / все скопом (31) | Прикормка / Real Fish (29) | Прикормка / Anvi (24);select;filter
Тип блешні;399;14;Блешня (143) | вертушка (81) | коливалка (65) | блешня (40) | Вертушка (26) | коливна (15) | спіннер (9) | Тел-спіннер (8);Приманки / блешні (399);select;filter
