parent,count,action,examples
Все для монтажу / карабіни вертлюги та кільця,12,review_batch_rules,1548: Вертлюг/застібка Груша вертлюг (118 г) | 1546: Вертлюг/застібка Груша вертлюг (14 г) | 1547: Вертлюг/застібка Груша вертлюг (16 г) | 1549: Вертлюг/застібка Груша вертлюг (24 г) | 1900: Вертлюг/застібка Карабін KAMATSU SWIVELS застібка K2101 [1900]
Херабуна / поплавки,11,review_batch_rules,"1858.60.06: Поплавок Brain BF 03 2gr | 1858.60.31: Поплавок Brain BF 11 10+2gr | 1858.60.46: Поплавок Brain BF 16 5, 0gr | 1858.60.86: Поплавок Brain BF 23 2.0gr | 1858.61.17: Поплавок Brain BF 33 6, 0gr"
Гачки,7,spot_check,"3068: Гачок Afeima | A6006#9: Гачок SHOGUN PCS 100 [A6006#9] | 1003: Гачок hcs3 лайт (1 м 4) | 391: Гачок Набір (сверло, гачок )метал | 2640: Гачок Трійник Mildaz капля [2640]"
"Підсаки, Садки, кукани / Садки кукани",7,spot_check,4289: Садок Carp Line Black ж. кіл. прогум.ж.с (2 м) | 3022736: Садок Carp Line Black ж. кіл. прогум.ж.с (2.5 м) | 3022734: Садок Carp Line Black ж. кіл. прогум.ж.с (3 м) | 3022735: Садок Carp Line Black ж. кіл. прогум.ж.с (3.5 м) | 2587: Садок SAMS FISH прорез 45*33 (3.5 м)
PVA матеріали та аксесуари / Інструменти,5,probably_ok_or_card_only,"2969: Інструмент для риболовлі Петлевяз | 4239: Інструмент для риболовлі Рогатка Stonfo 313 Twin Colour Catapult | 4410: Інструмент для риболовлі Рогатка WeidaDG-01 | 2876: Інструмент для риболовлі Сверло Brain для бойлів | 406: Інструмент для риболовлі Сверло, шило металевий"
Пелетси / Puhach,5,spot_check,PUSFMSQ: Пелетс Puhach Baits Stick Flat Mix Squid | PUSFMSC: Пелетс Puhach Baits Stick Flat Mix Squid Cranberry | PUSFMSQS: Пелетс Puhach Baits Stick Flat Mix Squid Scopex | PUSFMSS: Пелетс Puhach Baits Stick Flat Mix Squid Strawberry | PUSFSW: Пелетс Puhach Baits Stick Flat Mix Sweetcorn
"Підсаки, Садки, кукани / Підсаки",5,spot_check,"2260: Підсак 70*80 Пама Кордовий | 2589: Підсак BOYA BY корд (0.8 м) | HB-030-15501: Підсак Breeze HB- бортовий, кругла голова тонуча прогум.сітка (30-15501 г 0.56 м) | 2866: Підсак EOS LF50-1952B | 1947: Підсак Чорний малий"
"Підсаки, Садки, кукани / ручки та голови до підсака",5,spot_check,1858.70.77: Підсак Головка підсака Brain Rubber Net 65 55*65* (0.45 м) | 1858.40.80: Підсак Ручка Brain Apex для підсака (1.8 м) | 1858.40.81: Підсак Ручка Brain Apex для підсака (2.2 м) | 1858.40.82: Підсак Ручка Brain Apex для підсака (3 м) | 1858.51.67: Підсак Ручка Brain Classic Carp Landing Net Handle (1.8 м)
Котушки / Спінінгові,4,spot_check,2525: Котушка Daiwa Sweepfire E2000C | 2526: Котушка Daiwa Sweepfire E2500C | 2527: Котушка Daiwa Sweepfire E3000C | SF24159-M: Котушка Чохол Катушка SAMS FISH M
Приманки / воблери,4,spot_check,FLOB-110: Воблер Вiдцеп для воблерiв та блешень береговий (110 г) | FLOB-200: Воблер Вiдцеп для воблерiв та блешень береговий (200 г) | FLOB-300: Воблер Вiдцеп для воблерiв та блешень береговий (300 г) | КВ16014: Воблер Коробка для зберігання воблеров КВ 16014
ліквіди і атрактанти / всі,4,spot_check,3945: Ліквід Stick Sauce BELACHAN STRAWBERRY | 3930: Ліквід Stick Sauce BOUNTY STRAWBERRY SALMON | 1374: Ліквід TRINITY BAITS асортимент | 2535: Ліквід Спрей силіконовий для плетінь
PVA матеріали та аксесуари / PVA матеріали,3,probably_ok_or_card_only,4638: ПВА матеріал D-25 білий | 4179: ПВА матеріал Feima Expert 6m | 4746: ПВА матеріал PVA мотузка водорозчинна
Волосінь та шнури / готові повідці,3,spot_check,6008180: Повідець Mistrall Мотовило на поводок | 1779: Повідець Мотовило на поводок 6008179 | 1780: Повідець поводок Мотовило на
Пелетси / RPF,3,spot_check,4225: Пелетс Метод мікс Classic 2в1 Кальмар-Тигровий Горіх RPF | 4456: Пелетс Метод мікс Classic 2в1 Монстер Краб RPF | 4449: Пелетс Парена Гранула Кукурудза Тигровий Горіх 1кг (вміст меленого тигрового горіху 45%) RPF
Подарункові сертифікати / всі,3,probably_ok_or_card_only,3687: Подарунковий сертифікат Сертифкат. [3687] | 3689: Подарунковий сертифікат Сертифкат. [3689] | 3511: Подарунковий сертифікат. [3511]
Все для монтажу / грузила / спінінгові,2,spot_check,"685: Вантаж/грузило Івалід середній Набір свинцю Fanatik | 000603: Грузило швидкознімач вага 2, 0"
"Відра, сумки та органайзери / сумки",2,spot_check,3501: Сумка рибальська Jaxon UJ-XAA03 27 (43/23) | RA9905: Сумка рибальська Термосумка RENGER HB5-M
"Крісла, стільці та столи / стільці",2,spot_check,"3189: Крісло/стілець Крісло ECLIPSE EC- складне, з підстакан. (20 г) | 4351: Крісло/стілець з полиці Крісло d20 мм"
"Туризм / плити, горілки балони",2,spot_check,3297: Паливо для туризму Вугілля [3297] | 4328: Паливо для туризму Вугілля [4328]
Вудилища / Спінінгові,1,spot_check,4441: Спінінг Сумка Спінінгіста
"Відра, сумки та органайзери / коробки органайзери",1,spot_check,SPH524S: Ящик/коробка для снастей Carp Pro коропова велика комп. 6 короб.
"Відра, сумки та органайзери / повідочниці",1,spot_check,122644: Сумка рибальська Повідочниця ПМ Crystal Case 39*14*2 (Medium 39x14x2 см)
Зимова ловля / льодобури,1,spot_check,2733: Інструмент для риболовлі стандарт Ножі IDabur ковані K-130
Зимова ловля / сані,1,spot_check,3659: Ящик/коробка для снастей Сани 2 рибальські 80*42*20 (rfin)
Пелетси / Bounty,1,spot_check,4300: Пелетс BOUNTY METHOD MIX 4in1 BELACHAN\Plum
Приманки / блешні,1,spot_check,2501: Блешня MEPPS AGLIA 3 оранж
Туризм / батарейки,1,spot_check,000207: Батарейка cr425
Туризм / ліхтарі,1,spot_check,ME-4514: Ліхтар Ліхтарик SENSON ME-4514
Туризм / одяг та взуття,1,spot_check,AK-OKX17XM: Одяг/взуття для риболовлі Окуляри JAXON поляризаціоні AK-OKX17XM
Туризм / посуд,1,spot_check,4113: Рибальський товар Кораблик 40 Points GPS+ eхолот Rc baits Boat V030 12000mah batterry
Херабуна / готові оснастки,1,spot_check,05.65: Рибальський товар Оснастка фірмова Premium 5.4
"Херабуна / підсак, садок",1,spot_check,00037: Підсак Підставка для вудилищ коротка 45см (Herabunafishing) (2.4 м)
Чохли / всі,1,spot_check,4247: Чохол/тубус Feima 2465 1.50 салатові полоски
