wave,name,product_count,unique_values,recommended_type,filter_recommendation,top_values,top_categories,suggested_alias
1_filter_critical,Матеріал бланка,741,44,select,filter,Carbon (351) | Карбон (164) | карбон (66) | Композитний (23) | скловолокно (18) | Графіт (15) | Вуглецеве волокно (12) | вуглецеве волокно (11),Вудилища / Коропові (250) | Вудилища / Спінінгові (200) | Вудилища / Махові (119) | Зимова ловля / вудилища (65) | Вудилища / Запчастини та аксесуари для вудок (47),
1_filter_critical,Сегмент,304,3,select,filter,Різне (125) | Риболовна фурнітура (111) | Риболовні аксесуари (68),Все для монтажу / Інше для оснащення (89) | Готові монтажі / оранж (71) | Сигналізатори клювання / механічні (67) | Херабуна / готові оснастки (38) | Туризм / посуд (25),
1_filter_critical,Вид,190,4,select,filter,Класичний (152) | Херабуна (36) | Короп (1) | Мотиль (1),Херабуна / поплавки (188) | Готові монтажі / оранж (1) | Приманки / воблери (1),
1_filter_critical,Комплектація,144,17,select,filter,Готова оснастка (120) | Набір інструментів (9) | 3 (1) | 4 предмети (1) | 5 предмети (1) | Шило та свердло (1) | 10 шт (1) | 5 (1),"Готові монтажі / інші (121) | PVA матеріали та аксесуари / Інструменти (13) | Відра, сумки та органайзери / коробки органайзери (6) | Все для монтажу / Інше для оснащення (1) | Все для монтажу / грузила / спінінгові (1)",
3_filter_niche,Конструкція,76,7,select,filter,М'яка (46) | Телескопічна / складна (18) | Жорстка (7) | Телескопічна (2) | Складна (1) | П'ятикутна цільна голова (1) | Автоматична (1),"Чохли / всі (53) | Підсаки, Садки, кукани / Підсаки (20) | Підсаки, Садки, кукани / ручки та голови до підсака (2) | Туризм / посуд (1)",
3_filter_niche,Форма грузила,74,9,select,filter,Вухань (26) | Дроп-шот (19) | Банан (11) | Дробинка (6) | Куля (3) | Голова риби (3) | Пуля (3) | Ромб (2),Все для монтажу / грузила / спінінгові (68) | Готові монтажі / інші (6),
3_filter_niche,Аромат/варіант,40,40,select,filter,RealFish Горох (1) | RealFish Кисла Груша (1) | RealFish Кріль (1) | RealFish Полуниця (1) | RealFish Слива (1) | RealFish Солодка Кукурудза (1) | RealFish Часник (1) | RealFish Чебрець - Часник (1),Херабуна / тісто (18) | Прикормка / Макуха (9) | Прикормка / Real Fish (8) | Прикормка / Технопланктон (5),
3_filter_niche,Вид монтажу,36,4,select,filter,Вбивця карася (23) | На товстолоба (10) | Фідерний (2) | Фідер.пуля (1),Готові монтажі / інші (36),
3_filter_niche,Джерело живлення,24,1,select,filter,Батарейки (24),Туризм / ліхтарі (24),
5_rare_review,Напруга,11,6,select,card_only,9V (5) | 9 V (2) | 3.6 V (1) | 3V (1) | 1.5V (1) | 1.5 В (1),Туризм / батарейки (9) | Туризм / ліхтарі (1) | Туризм / посуд (1),
5_rare_review,Кількість полиць,10,4,select,card_only,2 (5) | 3 (3) | 1 (1) | 5 (1),"Відра, сумки та органайзери / коробки органайзери (8) | Туризм / посуд (2)",
5_rare_review,Номінал,9,9,select,card_only,1000 грн (1) | 2500 грн (1) | 3000 грн (1) | 3500 грн (1) | 4000 грн (1) | 4500 грн (1) | 5000 грн (1) | 1500 грн (1),Подарункові сертифікати / всі (9),
5_rare_review,Застібка,8,3,select,card_only,Блискавка (6) | Клапан (1) | Так (1),"Чохли / всі (4) | Все для монтажу / карабіни вертлюги та кільця (1) | Відра, сумки та органайзери / коробки органайзери (1) | Відра, сумки та органайзери / сумки (1) | Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Висота,7,4,select,card_only,Високі (3) | 20 см (2) | Регульована (1) | Середня (1),"Туризм / одяг та взуття (4) | Крісла, стільці та столи / стільці (1) | Туризм / посуд (1) | Чохли / всі (1)",
5_rare_review,Кількість режимів,7,2,select,card_only,3 (5) | 1 (2),Туризм / ліхтарі (7),
5_rare_review,Смак,7,7,select,card_only,Пряже Молоко (1) | Слива (1) | Часник (1) | Чебрець - Часник (1) | Полуниця (1) | Креветка (1) | Слодка кукурудза (1),Прикормка / Fanatik / Кекси (2) | Прикормка / Real Fish (2) | Прикормка / Технопланктон (2) | Прикормка / Інші бренди (1),
5_rare_review,Довжина поводка,6,1,select,card_only,40 см (6),Херабуна / готові оснастки (6),
5_rare_review,Матеріал сітки,6,3,select,card_only,Прогумований (3) | Прогумована (2) | Кордова (1),"Підсаки, Садки, кукани / Підсаки (6)",
5_rare_review,Розміри в складеному вигляді,6,6,select,card_only,100x60x10 см (1) | 80 x 15 x 15 см (1) | 80 x 10 x 10 см (1) | 80 x 20 x 10 см (1) | 90 х 15 х 15 см (1) | 40x15 см (1),"Крісла, стільці та столи / стільці (5) | Туризм / посуд (1)",
5_rare_review,Сітка,6,3,select,card_only,Прогумована (4) | М'яка (1) | Прорез (1),"Підсаки, Садки, кукани / Підсаки (5) | Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Тип товару,6,3,select,card_only,Сертифікат (4) | Прес-форма (1) | Подарунковий сертифікат (1),Подарункові сертифікати / всі (5) | Все для монтажу / Інше для оснащення (1),
5_rare_review,Кількість предметів,5,3,select,card_only,3 (2) | 4 (2) | 5 (1),PVA матеріали та аксесуари / Інструменти (3) | Туризм / посуд (2),
5_rare_review,Особливість,5,1,select,card_only,З полицею (5),"Крісла, стільці та столи / стільці (5)",
