article,name,categoryId,vendor
000276,Вудка Herabunafishing Золотий бамбук (6.3 м),2,Herabunafishing
000492,Вудка Killer Carp (Japan) (5.4 м),2,Killer
000493,Вудка Killer Carp (Japan) (6.3 м),2,Killer
000602,Вудка Чохол карбоновий Perfect Koi 130*14*11 (Herabunafishing),2,
000649,Вудка Daiwa Homon Thailand 5h. Розмір: 5.4 (28),2,Daiwa
000650,Вудка Daiwa Homon Thailand 5h. Розмір: 6.3 (28),2,Daiwa
00066,Вудка Золотий бамбук Herabunafishing 110 см 57 грам (3.6 м),2,
000660,Вудка Herabunafishing бамбук 110 см 57 грам (3.6 м),2,Herabunafishing
00067,Вудка Золотий бамбук Herabunafishing 110 см 84 грам (4.5 м),2,
000670,Вудка Herabunafishing бамбук 110 см 84 грам (4.5 м),2,Herabunafishing
00068,Вудка Золотий бамбук Herabunafishing 110 см 110 грам (5.4 м),2,
000680,Вудка Herabunafishing бамбук 110 см 110 грам (5.4 м),2,Herabunafishing
000721,Вудка Кріплення підставки до стула,2,
000727,Вудка Yuzhiyian Херабуна Chu Shou (5.4 м),2,Yuzhiyian
000728,Вудка Yuzhiyian Херабуна Chu Shou (6.3 м),2,Yuzhiyian
000839,Вудка Herabunafishing Black gold (3.6 м 28),2,Herabunafishing
000840,Вудка Herabunafishing Black gold (4.5 м 28),2,Herabunafishing
000841,Вудка Herabunafishing Black gold (5.4 м 28),2,Herabunafishing
000842,Вудка Herabunafishing Black gold (6.3 м 28),2,Herabunafishing
00108,Вудка Наконечник для махової вудки 1.0 н.в,2,
013590,Прикормка RealFish (Карась-Халва)1 кг,65,RealFish
013594,Прикормка RealFish (Короп-Слива)1 кг,65,RealFish
013596,Прикормка RealFish (Універсал(Ваніль-Карамель)1 кг,65,RealFish
013597,Прикормка RealFish (Універсал(Любисток Спеції)1 кг,65,RealFish
020721,Прикормка RealFish (Короп-Горох)1 кг,65,RealFish
05.29,Вудка Страхувальник резинка для вудки сіра (Herabunafishing) (5 м),2,
10,Прикормка ЧАСНИК Прикорм Карась 1 кг ANVI FISHING,64,ЧАСНИК
100,Поп-ап Бойли 3-К Baits Pop-Up 8мм (креветка) (8 мм 20 г),57,3K BAITS
101,Поп-ап Бойли 3-К Baits Pop-Up 8мм (тигровий горіх) (8 мм 20 г),57,3K BAITS
102,Поп-ап Бойли 3-К Baits Pop-Up 8мм (зеленогуба мушля) (8 мм 20 г),57,3K BAITS
103,Поп-ап Бойли 3-К Baits Pop-Up 10мм (тигровий горіх) (10 мм 20 г),57,3K BAITS
1031,Одяг/взуття для риболовлі Накомарник,120,
10319-400,Спінінг Вудочка MIFINE MAGICIAN 4004 (50-100 г),13,MIFINE
10319-600,Спінінг Вудочка MIFINE MAGICIAN 6006 (50-100 г),13,MIFINE
107,Поп-ап Бойли 3-К Baits Pop-Up 8мм (кисла груша) (8 мм 20 г),57,3K BAITS
11,Пелетс ЧАСНИК Прикорм Pellets 1 кг ANVI FISHING (5 мм),73,ЧАСНИК
1100СР,Чохол/тубус Чехол для вудилищ ECLIPSE 3сек. 1100СР (1.1 м),32,ECLIPSE
111,Зернова насадка Прикорм 3-К Baits Конопля Natural (натур) (400 г),59,3K BAITS
1154,Спінінг Вудочка Джокер BOYA BU 450,16,BOYA
1155,Спінінг Вудочка Джокер BOYA BU 540,16,BOYA
1156,Спінінг Вудочка Джокер BOYA BU 630,16,BOYA
1157,Спінінг Вудочка Джокер BOYA BU 720,16,BOYA
118,Зернова насадка Кукурудза ROBIN Sweet ж/б HEMP (200 мл),59,ROBIN
119,Зернова насадка Кукурудза ROBIN Sweet ж/б GARLIC (200 мл),59,ROBIN
120,Зернова насадка Кукурудза ROBIN Sweet ж/б VANILLA (200 мл),59,ROBIN
1201,"Прикормка Fanatik Фідер Вбивця Карася, (900 г) [1201]",63,Fanatik
1202,"Прикормка Fanatik Фідер Чорний Часник, (900 г) [1202]",63,Fanatik
