Полиця/категорія,#,Артикул,Назва,Ціна,Залишок,"Виручка,грн"
Хробак Опариш,1,1905,Хробак,35,34,938981
Хробак Опариш,2,1906,Опариш,20,170,629482
Хробак Опариш,3,2593,Мотиль,35,7,172940
Хробак Опариш,4,3165,Денробена,52,55,82018
Хробак Опариш,5,1958,Горох Варений,15,16,28580
Хробак Опариш,6,3666,Живець,6,3,21146
Хробак Опариш,7,4017,Горох Риболовний сухий,33,21,18438
Катушки  / Карпові катушки,1,1302,Котушка HAIBAO FISHING J3-50FR (9+1 BB) з бейтранером,930,5,97220
Катушки  / Карпові катушки,2,1303,Котушка HAIBAO FISHING J3-60FR (9+1 BB) з бейтранером,940,4,59700
Катушки  / Карпові катушки,3,3041,Катушка  Weida DJ40A 3+1,670,2,55630
Катушки  / Карпові катушки,4,2895,Катушка  Weida DJ30A 3+1,650,4,48370
Катушки  / Карпові катушки,5,276,Катушка WEIDA BJ6000A,990,5,35150
Катушки  / Карпові катушки,6,K-3046,Катушка FEIMA MD 4000,725,7,30390
Катушки  / Карпові катушки,7,2893,Катушка  Weida DJ10A 3+1,600,4,29620
Катушки  / Карпові катушки,8,275,Катушка WEIDA BJ5000A,940,5,28630
Катушки  / Карпові катушки,9,3342,Катушка BOYA BY TB 6000,1015,3,27550
Катушки  / Карпові катушки,10,272,Катушка Cobra СВ 2b(240),225,3,27000
Катушки  / Карпові катушки,11,3042,Катушка  Weida DJ60A 3+1,700,6,26000
Катушки  / Карпові катушки,12,3139,Катушка  Weida DJ50A 3+1,690,5,25840
Катушки  / Карпові катушки,13,2116,Катушка MIFINE WHALE 4000F 60320-4,650,2,20560
Катушки  / Карпові катушки,14,2894,Катушка  Weida DJ20A 3+1,620,3,20240
Катушки  / Карпові катушки,15,2167,Катушка FEIMA MG 5000,780,1,19740
Катушки  / Карпові катушки,16,3538,Катушка FEIMA LM 7000,1300,1,14760
Катушки  / Карпові катушки,17,2776,Катушка FEIMA LK 500,420,2,14560
Катушки  / Карпові катушки,18,2080,Катушка FEIMA LE 3000,520,1,13880
Катушки  / Карпові катушки,19,279,Катушка WEIDA XC4000 бейтр,735,5,12830
Катушки  / Карпові катушки,20,3341,Катушка BOYA BY TB 5000,940,1,11220
Катушки  / Карпові катушки,21,2113,Котушка HAIBAO FISHING J3-20FR (9+1 BB) з бейтранером,560,2,10080
Катушки  / Карпові катушки,22,1858.45.34,Катушка Brain Classic Carp Baitrunner 5000 4+1 5.0\1,1220,1,9480
Катушки  / Карпові катушки,23,3092,"Катушка Weida HFS600 6+1ВВ 5,2:1",765,1,9180
Катушки  / Карпові катушки,24,1858.45.35,Катушка Brain Classic Carp Baitrunner 6000 4+1BB 5.0\1,1260,2,8820
Катушки  / Карпові катушки,25,2300,Катушка EOS MGR404b,300,2,8400
Катушки  / Карпові катушки,26,1344,Катушка Cobra СВ 1b(140),215,3,8160
Катушки  / Карпові катушки,27,3489,Котушка HAIBAO FISHING U3-40FR (9+1 BB) з бейтранером,650,2,7760
Катушки  / Карпові катушки,28,2459,Катушка BOYA BY SA11-40F,650,2,7500
Катушки  / Карпові катушки,29,1401,Катушка Cobra CB440M шпуля метал,340,1,7480
Прикормка / Пінотісто Макуха Планктон,1,1909,Шайба Макух,12,81,174958
Прикормка / Пінотісто Макуха Планктон,2,2015,"Технопанктон CORONA флуоро""Чудо планктон"" Топлене Молоко",50,120,86146
Прикормка / Пінотісто Макуха Планктон,3,605,"Тісто Cukk""puffi""midi 3-6мм 30гр Часник",80,76,84760
Прикормка / Пінотісто Макуха Планктон,4,604,"Тісто Cukk""puffi""midi 3-6мм 30гр Мед",80,53,48460
Прикормка / Пінотісто Макуха Планктон,5,3063,"Технопанктон CORONA флуоро""Чудо планктон""Очерет",50,155,43342
Прикормка / Пінотісто Макуха Планктон,6,606,"Тісто Cukk""puffi""midi 6-10мм 30гр Часник",80,100,38550
Прикормка / Пінотісто Макуха Планктон,7,603,"Тісто Cukk""puffi""midi 6-10мм 30гр Мед",80,114,27760
Прикормка / Пінотісто Макуха Планктон,8,PT-CHESNOK-M,"Пінотісто Fanatik Puffi міні Часник,50мл",40,27,22954
Прикормка / Пінотісто Макуха Планктон,9,2981,"Технопанктон CORONA флуоро""Чудо планктон"" Дафнія",50,17,20878
Прикормка / Пінотісто Макуха Планктон,10,PT-MED-M,"Пінотісто Fanatik Puffi міні Мед,50мл",40,25,16892
Прикормка / Пінотісто Макуха Планктон,11,608,"Тісто Cukk""puffi""midi 3-6мм 30гр Полуниця",80,9,11230
Прикормка / Пінотісто Макуха Планктон,12,607,"Тісто Cukk""puffi""midi 6-10мм 30гр Полуниця",80,16,9700
Прикормка / Пінотісто Макуха Планктон,13,PT-KLUBNIKA-M,"Пінотісто Fanatik Puffi міні Полуниця,50мл",40,30,9076
Прикормка / Пінотісто Макуха Планктон,14,1378,Мастирка ELIT асортимент готова,12,13,8532
Прикормка / Пінотісто Макуха Планктон,15,2013,"Технопанктон CORONA флуоро""Чудо планктон"" Мед",50,6,8034
Оснащення Монтаж / Готові монтажі,1,1497,Монтаж Арбуз відві 2 гач 20г,55,130,122100
Оснащення Монтаж / Готові монтажі,2,2209,Монтаж на толстолоба Silver carp донна,180,22,58635
Оснащення Монтаж / Готові монтажі,3,1483,Макушатнік Шар 30г,55,105,54650
Оснащення Монтаж / Готові монтажі,4,1502,Монтаж на вудку Риболов,45,15,53440
Оснащення Монтаж / Готові монтажі,5,3753,Монтаж  на вудочку з поплавком на 2 гачка,40,40,31940
Оснащення Монтаж / Готові монтажі,6,3991,Монтаж Арбуз 2г 20гр на 1 відвід пластик,50,11,22860
Оснащення Монтаж / Готові монтажі,7,1485,Монтаж №10  вбивця карася,45,46,18110
Оснащення Монтаж / Готові монтажі,8,2049,Пружина Арбуз  3г,35,25,16940
Оснащення Монтаж / Готові монтажі,9,2294,Вбивця Карася,35,89,16870
Оснащення Монтаж / Готові монтажі,10,2050,Монтаж №7\1 Вбивця Карася 3 пружини + 3 гач відвід,50,5,15750
Оснащення Монтаж / Готові монтажі,11,1488,Монтаж №7 Вбивця Карася 2 пружини + 2 гач  отводи,45,6,14960
Оснащення Монтаж / Готові монтажі,12,4254,Монтаж на толстолоба Silver carp Мерседес,225,8,14050
Оснащення Монтаж / Готові монтажі,13,2045,Монтаж Арбуз чорний відвід+3 гач,35,13,13230
Оснащення Монтаж / Готові монтажі,14,2172,ELIT вбивця карася,25,12,13150
Оснащення Монтаж / Готові монтажі,15,3213,Монтаж на толстолоба Silver carp +технопанктон,190,3,13040
Оснащення Монтаж / Готові монтажі,16,3099,Монтаж на Сома 1гач,260,13,12900
Оснащення Монтаж / Готові монтажі,17,397,"Монтаж №16 ""Арбуз"" Карась 30г 4кр",50,8,11640
Оснащення Монтаж / Готові монтажі,18,394,Готовий монтаж на толстолоб Харків,45,53,11334
Оснащення Монтаж / Готові монтажі,19,3100,Монтаж на Сома 2гач,280,19,10740
Оснащення Монтаж / Готові монтажі,20,4213,Монтаж на толстолоба Silver carp 1 гач.,180,19,10180
Оснащення Монтаж / Готові монтажі,21,10750,Макушатнік 40г ремінчик 10750,50,8,9560
Оснащення Монтаж / Готові монтажі,22,3265,Оснащення Мерседес ТМ Фанатік,212,4,9274
Оснащення Монтаж / Готові монтажі,23,2781,Монтаж карповий (засос 30гр 4гач),50,15,8600
Оснащення Монтаж / Готові монтажі,24,3040,Макушатник Гітара  Короп- Карась 60гр,106,13,8435
Оснащення Монтаж / Готові монтажі,25,3054,ELIT вбивця карася #2,30,86,8100
Оснащення Монтаж / Готові монтажі,26,4161,Монтаж на толстолоба Silver carp 2,190,11,8050
