Набір,Опис,Ціна набору,Артикул,К-сть,Ціна шт,Назва
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,227,1,1160,"Удилище WEIDA CARP Expert 3.75ib3,60м"
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,1302,1,930,Котушка HAIBAO FISHING J3-50FR (9+1 BB) з бейтранером
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,4639,1,80,Сигналізатор клювання механічний у підставку
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,2107,1,110,"Підставка під вудочку бур 1,2 нержавійка"
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,1497,2,55,Монтаж Арбуз відві 2 гач 20г
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,427,2,25,Повідець Carp Fishing Fast Sinking Braid 25lb №6 (шт.)
Набір «Короп-Старт» 🎣,Повний коропово-донний комплект: закинув і чекаєш поклівки,2350,86,1,110,Волосінь Carp Expert Muiticolor 0.30mm 150m
Набір «Фідер» 🐟,Готовий фідерний комплект під ліща й карася,1660,308,1,715,"Фідер KAIDA IMPULSE-II(м636)60-160 3,0"
Набір «Фідер» 🐟,Готовий фідерний комплект під ліща й карася,1660,3041,1,670,Катушка  Weida DJ40A 3+1
Набір «Фідер» 🐟,Готовий фідерний комплект під ліща й карася,1660,1202,2,72,Прикормка Fanatik Фідер чорний часник .900г
Набір «Фідер» 🐟,Готовий фідерний комплект під ліща й карася,1660,1483,2,55,Макушатнік Шар 30г
Набір «Фідер» 🐟,Готовий фідерний комплект під ліща й карася,1660,86,1,110,Волосінь Carp Expert Muiticolor 0.30mm 150m
Набір «Фідер» 🐟,Готовий фідерний комплект під ліща й карася,1660,76,1,60,Крючок Hayabusa H.SDE 198 BN №6(10 шт)
Набір «Початківець» 👶,Все для першої риболовлі — недорого і робоче,1250,1264,1,440,Карпове вудлище 2.70м  Kyogi тест 150-300г телескоп
Набір «Початківець» 👶,Все для першої риболовлі — недорого і робоче,1250,2893,1,600,Катушка  Weida DJ10A 3+1
Набір «Початківець» 👶,Все для першої риболовлі — недорого і робоче,1250,86,1,110,Волосінь Carp Expert Muiticolor 0.30mm 150m
Набір «Початківець» 👶,Все для першої риболовлі — недорого і робоче,1250,2023004,2,55,Супер Карась 20г №4 гачок №8
Набір «Початківець» 👶,Все для першої риболовлі — недорого і робоче,1250,3753,2,40,Монтаж  на вудочку з поплавком на 2 гачка
Набір «Початківець» 👶,Все для першої риболовлі — недорого і робоче,1250,267,1,48,Підставка під вудочку  алюм
Набір «Боєкомплект наживки» 🌽,"Прикормка + насадки на виїзд, без вудки",340,0199,2,42,"Прикорм ""БОМБА"" 1кг"
Набір «Боєкомплект наживки» 🌽,"Прикормка + насадки на виїзд, без вудки",340,2015,2,50,"Технопанктон CORONA флуоро""Чудо планктон"" Топлене Молоко"
Набір «Боєкомплект наживки» 🌽,"Прикормка + насадки на виїзд, без вудки",340,605,1,80,"Тісто Cukk""puffi""midi 3-6мм 30гр Часник"
Набір «Боєкомплект наживки» 🌽,"Прикормка + насадки на виїзд, без вудки",340,1909,3,12,Шайба Макух
Набір «Боєкомплект наживки» 🌽,"Прикормка + насадки на виїзд, без вудки",340,PRF4,1,56,Прикормка Fanatik Часник Карась
